"liquid methane"
"methane"
"acetylene"
"ethylene"
"ethane"
"propadiene"
"methylacetylene"
"cyclopropane"
"propylene"
"propane"
"1,3-butadiyne"
"1-buten-3-yne"
"1,2-butadiene"
"1,3-butadiene"
"1-butyne"
"2-butyne"
"cyclobutene"
"1-butene"
"butene (mixed isomers)"
"isobutylene"
"cis-2-butene"
"cyclobutane"
"methylcyclopropane"
"trans-2-butene"
"isobutane"
"butane"
"1,3-pentadiyne"
"1,3-cyclopentadiene"
"1-penten-3-yne"
"2-methyl-1-buten-3-yne"
"(3Z)-3-penten-1-yne"
"cyclopropylacetylene"
"(E)-3-penten-1-yne"
"1,2-pentadiene"
"piperylene"
"1,4-pentadiene"
"cyclobutene, 1-methyl-"
"1-pentyne"
"2,3-pentadiene"
"2-pentyne"
"3-methyl-1,2-butadiene"
"3-methyl-1-butyne"
"cis-1,3-pentadiene"
"cyclopentene"
"isoprene"
"methylenecyclobutane"
"spiropentane"
"trans-1,3-pentadiene"
"1,1-dimethylcyclopropane"
"1-pentene"
"2-methyl-1-butene"
"2-methyl-2-butene"
"2-pentene"
"3-methyl-1-butene"
"cis-2-pentene"
"cyclopentane"
"ethylcyclopropane"
"isopentene"
"methylbut-1-ene"
"methylcyclobutane"
"pentene"
"trans-1,2-dimethylcyclopropane"
"trans-2-pentene"
"2,2-dimethylpropane"
"isopentane"
"N-pentane"
"1,3-hexadien-5-yne"
"1,4-hexadiyne"
"1,5-hexadien-3-yne"
"1,5-hexadiyne"
"2,4-hexadiyne"
"benzene"
"1,2-bis(methylene)cyclobutane"
"1,3,5-hexatriene"
"1,3-cyclohexadiene"
"1,4-cyclohexadiene"
"1-hexen-3-yne"
"2-methyl-1-penten-3-yne"
"3-methyl-3-penten-1-yne"
"3-methylenepent-1-yne"
"cis-1,3,5-hexatriene"
"cyclohexadiene"
"MAPP"
"methylcyclopentadiene"
"trans-1,3,5-hexatriene"
"1,2-hexadiene"
"1,3-hexadiene"
"1,4-hexadiene"
"1,5-hexadiene"
"1-hexyne"
